n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
6500,0.798000,1.054000,0.332000,0.177000,0.140000,0.105000,0.123000,0.167000,0.363000,0.198000,0.152000,0.104000,0.094000,0.111000
7000,0.926000,1.323000,0.371000,0.205000,0.157000,0.154000,0.113000,0.186000,0.397000,0.229000,0.178000,0.140000,0.132000,0.139000
7500,1.066000,1.542000,0.427000,0.247000,0.176000,0.127000,0.131000,0.124000,0.459000,0.255000,0.200000,0.152000,0.164000,0.149000
8000,1.220000,1.764000,0.472000,0.291000,0.171000,0.192000,0.144000,0.200000,0.518000,0.291000,0.205000,0.183000,0.164000,0.196000
8500,1.368000,1.943000,0.566000,0.306000,0.214000,0.156000,0.145000,0.201000,0.582000,0.327000,0.198000,0.143000,0.162000,0.171000
9000,1.535000,2.329000,0.600000,0.333000,0.187000,0.169000,0.188000,0.191000,0.700000,0.365000,0.215000,0.180000,0.171000,0.186000
9500,1.708000,2.564000,0.678000,0.373000,0.240000,0.228000,0.201000,0.249000,0.737000,0.401000,0.271000,0.226000,0.167000,0.195000
1000,0.019000,0.020000,0.022000,0.012000,0.020000,0.007000,0.010000,0.010000,0.020000,0.016000,0.009000,0.008000,0.011000,0.013000
10000,1.901000,2.852000,0.769000,0.407000,0.255000,0.233000,0.197000,0.269000,0.861000,0.445000,0.296000,0.234000,0.197000,0.229000
1500,0.042000,0.043000,0.029000,0.021000,0.018000,0.017000,0.014000,0.023000,0.032000,0.020000,0.017000,0.015000,0.014000,0.017000
2000,0.075000,0.078000,0.041000,0.034000,0.027000,0.026000,0.019000,0.017000,0.041000,0.029000,0.028000,0.024000,0.032000,0.025000
2500,0.118000,0.123000,0.057000,0.061000,0.035000,0.079000,0.027000,0.025000,0.056000,0.064000,0.072000,0.030000,0.048000,0.022000
3000,0.174000,0.180000,0.076000,0.047000,0.039000,0.065000,0.062000,0.049000,0.076000,0.049000,0.032000,0.041000,0.032000,0.049000
3500,0.230000,0.250000,0.102000,0.059000,0.053000,0.050000,0.044000,0.062000,0.105000,0.061000,0.051000,0.057000,0.043000,0.073000
4000,0.300000,0.341000,0.123000,0.079000,0.117000,0.057000,0.054000,0.053000,0.135000,0.076000,0.060000,0.050000,0.058000,0.056000
4500,0.380000,0.448000,0.152000,0.088000,0.151000,0.058000,0.076000,0.093000,0.163000,0.154000,0.124000,0.063000,0.109000,0.057000
500,0.004000,0.005000,0.007000,0.004000,0.004000,0.007000,0.004000,0.007000,0.007000,0.006000,0.004000,0.005000,0.006000,0.005000
5000,0.468000,0.568000,0.187000,0.106000,0.095000,0.080000,0.076000,0.074000,0.236000,0.114000,0.070000,0.080000,0.095000,0.069000
5500,0.575000,0.745000,0.220000,0.127000,0.108000,0.077000,0.076000,0.100000,0.240000,0.136000,0.096000,0.128000,0.085000,0.100000
6000,0.681000,0.919000,0.279000,0.170000,0.124000,0.097000,0.082000,0.160000,0.291000,0.184000,0.106000,0.088000,0.113000,0.120000
6500,0.800000,1.050000,0.323000,0.192000,0.115000,0.129000,0.110000,0.145000,0.348000,0.199000,0.151000,0.101000,0.107000,0.133000
7000,0.925000,1.302000,0.394000,0.216000,0.156000,0.100000,0.095000,0.109000,0.402000,0.224000,0.139000,0.124000,0.132000,0.144000
7500,1.066000,1.506000,0.443000,0.247000,0.153000,0.136000,0.125000,0.154000,0.450000,0.300000,0.188000,0.148000,0.153000,0.146000
8000,1.219000,1.766000,0.486000,0.260000,0.209000,0.150000,0.170000,0.201000,0.520000,0.290000,0.216000,0.175000,0.162000,0.141000
8500,1.367000,1.941000,0.569000,0.307000,0.214000,0.153000,0.141000,0.234000,0.578000,0.323000,0.201000,0.163000,0.171000,0.179000
9000,1.533000,2.312000,0.605000,0.333000,0.223000,0.204000,0.161000,0.219000,0.656000,0.363000,0.236000,0.208000,0.190000,0.230000
9500,1.713000,2.705000,0.704000,0.380000,0.250000,0.233000,0.173000,0.239000,0.722000,0.400000,0.257000,0.191000,0.222000,0.194000
1000,0.019000,0.021000,0.018000,0.029000,0.010000,0.009000,0.011000,0.012000,0.015000,0.027000,0.017000,0.010000,0.010000,0.010000
10000,1.993000,2.952000,0.728000,0.408000,0.257000,0.203000,0.175000,0.207000,0.804000,0.440000,0.252000,0.245000,0.218000,0.239000
1500,0.042000,0.043000,0.035000,0.020000,0.040000,0.016000,0.012000,0.013000,0.028000,0.020000,0.020000,0.034000,0.011000,0.018000
2000,0.076000,0.079000,0.041000,0.028000,0.041000,0.027000,0.033000,0.024000,0.043000,0.071000,0.029000,0.023000,0.030000,0.041000
2500,0.117000,0.123000,0.090000,0.038000,0.034000,0.028000,0.042000,0.029000,0.082000,0.077000,0.086000,0.030000,0.037000,0.037000
3000,0.169000,0.180000,0.076000,0.049000,0.066000,0.034000,0.045000,0.037000,0.078000,0.073000,0.039000,0.033000,0.065000,0.040000
3500,0.229000,0.251000,0.099000,0.078000,0.062000,0.055000,0.047000,0.045000,0.105000,0.063000,0.056000,0.080000,0.041000,0.048000
4000,0.299000,0.346000,0.125000,0.083000,0.114000,0.059000,0.059000,0.057000,0.132000,0.074000,0.062000,0.063000,0.047000,0.058000
4500,0.386000,0.450000,0.199000,0.126000,0.085000,0.059000,0.112000,0.061000,0.163000,0.092000,0.099000,0.094000,0.088000,0.060000
500,0.005000,0.005000,0.005000,0.004000,0.006000,0.003000,0.006000,0.005000,0.007000,0.005000,0.005000,0.007000,0.010000,0.006000
5000,0.482000,0.596000,0.186000,0.107000,0.083000,0.075000,0.078000,0.074000,0.255000,0.112000,0.160000,0.099000,0.079000,0.066000
5500,0.574000,0.725000,0.227000,0.131000,0.170000,0.099000,0.076000,0.079000,0.240000,0.138000,0.091000,0.098000,0.080000,0.085000
6000,0.681000,0.908000,0.317000,0.170000,0.123000,0.078000,0.089000,0.144000,0.299000,0.167000,0.097000,0.122000,0.089000,0.101000
6500,0.806000,1.078000,0.324000,0.190000,0.128000,0.089000,0.121000,0.188000,0.396000,0.196000,0.155000,0.125000,0.118000,0.115000
7000,0.924000,1.265000,0.392000,0.215000,0.147000,0.154000,0.105000,0.150000,0.406000,0.225000,0.142000,0.147000,0.144000,0.122000
7500,1.068000,1.552000,0.471000,0.285000,0.175000,0.168000,0.139000,0.148000,0.466000,0.256000,0.204000,0.155000,0.125000,0.159000
8000,1.237000,1.716000,0.480000,0.282000,0.199000,0.131000,0.150000,0.146000,0.524000,0.290000,0.201000,0.174000,0.154000,0.151000
8500,1.366000,1.939000,0.534000,0.307000,0.223000,0.157000,0.192000,0.165000,0.590000,0.322000,0.201000,0.160000,0.134000,0.212000
9000,1.530000,2.288000,0.571000,0.312000,0.238000,0.160000,0.155000,0.170000,0.648000,0.361000,0.206000,0.185000,0.166000,0.173000
9500,1.813000,2.565000,0.656000,0.366000,0.270000,0.221000,0.184000,0.257000,0.724000,0.402000,0.260000,0.179000,0.207000,0.195000
1000,0.019000,0.020000,0.017000,0.016000,0.009000,0.014000,0.008000,0.012000,0.019000,0.012000,0.010000,0.014000,0.013000,0.010000
10000,1.900000,2.873000,0.741000,0.399000,0.254000,0.238000,0.207000,0.269000,0.794000,0.456000,0.308000,0.215000,0.209000,0.228000
1500,0.043000,0.042000,0.037000,0.029000,0.012000,0.038000,0.016000,0.017000,0.030000,0.054000,0.024000,0.024000,0.025000,0.014000
2000,0.075000,0.078000,0.057000,0.035000,0.026000,0.021000,0.018000,0.027000,0.040000,0.083000,0.057000,0.023000,0.021000,0.026000
2500,0.117000,0.124000,0.057000,0.039000,0.057000,0.030000,0.046000,0.034000,0.061000,0.069000,0.034000,0.030000,0.034000,0.028000
3000,0.169000,0.185000,0.084000,0.085000,0.046000,0.036000,0.040000,0.036000,0.078000,0.063000,0.104000,0.059000,0.035000,0.045000
3500,0.229000,0.254000,0.101000,0.057000,0.055000,0.053000,0.049000,0.051000,0.105000,0.063000,0.051000,0.043000,0.073000,0.044000
4000,0.299000,0.340000,0.128000,0.075000,0.073000,0.051000,0.054000,0.052000,0.140000,0.118000,0.070000,0.051000,0.052000,0.051000
4500,0.380000,0.443000,0.156000,0.156000,0.094000,0.065000,0.100000,0.062000,0.163000,0.091000,0.076000,0.104000,0.093000,0.063000
500,0.004000,0.005000,0.008000,0.006000,0.006000,0.007000,0.007000,0.006000,0.006000,0.004000,0.004000,0.006000,0.006000,0.005000
5000,0.469000,0.602000,0.186000,0.191000,0.113000,0.115000,0.106000,0.073000,0.204000,0.112000,0.149000,0.077000,0.082000,0.070000
5500,0.574000,0.728000,0.275000,0.139000,0.081000,0.075000,0.097000,0.082000,0.239000,0.135000,0.098000,0.093000,0.080000,0.087000
6000,0.682000,0.886000,0.279000,0.169000,0.105000,0.138000,0.088000,0.184000,0.308000,0.169000,0.096000,0.101000,0.117000,0.109000
6500,0.799000,1.077000,0.334000,0.192000,0.115000,0.144000,0.104000,0.185000,0.351000,0.239000,0.166000,0.106000,0.103000,0.118000
7000,0.954000,1.261000,0.404000,0.213000,0.155000,0.109000,0.118000,0.146000,0.410000,0.228000,0.181000,0.156000,0.133000,0.129000
7500,1.103000,1.488000,0.429000,0.243000,0.175000,0.144000,0.133000,0.231000,0.468000,0.255000,0.197000,0.153000,0.146000,0.148000
8000,1.220000,1.727000,0.483000,0.286000,0.201000,0.140000,0.140000,0.255000,0.522000,0.288000,0.165000,0.175000,0.162000,0.156000
8500,1.379000,1.971000,0.531000,0.371000,0.169000,0.145000,0.178000,0.211000,0.577000,0.330000,0.199000,0.157000,0.148000,0.172000
9000,1.531000,2.283000,0.642000,0.328000,0.224000,0.197000,0.188000,0.245000,0.651000,0.365000,0.224000,0.174000,0.165000,0.196000
9500,1.718000,2.585000,0.661000,0.360000,0.230000,0.210000,0.170000,0.204000,0.736000,0.401000,0.227000,0.204000,0.224000,0.213000
1000,0.021000,0.020000,0.026000,0.010000,0.013000,0.010000,0.008000,0.009000,0.024000,0.009000,0.010000,0.014000,0.009000,0.009000
10000,1.903000,2.953000,0.733000,0.415000,0.265000,0.208000,0.189000,0.247000,0.801000,0.445000,0.295000,0.246000,0.227000,0.197000
1500,0.043000,0.043000,0.029000,0.019000,0.020000,0.017000,0.012000,0.020000,0.054000,0.022000,0.018000,0.018000,0.012000,0.018000
2000,0.074000,0.078000,0.043000,0.027000,0.028000,0.049000,0.041000,0.021000,0.063000,0.029000,0.030000,0.036000,0.026000,0.026000
2500,0.117000,0.123000,0.065000,0.037000,0.036000,0.028000,0.048000,0.029000,0.056000,0.037000,0.033000,0.034000,0.041000,0.031000
3000,0.168000,0.191000,0.075000,0.068000,0.040000,0.036000,0.032000,0.052000,0.103000,0.047000,0.084000,0.040000,0.033000,0.040000
3500,0.230000,0.250000,0.153000,0.060000,0.051000,0.076000,0.049000,0.043000,0.120000,0.061000,0.055000,0.041000,0.057000,0.069000
4000,0.300000,0.341000,0.122000,0.124000,0.093000,0.071000,0.053000,0.054000,0.135000,0.113000,0.052000,0.052000,0.053000,0.054000
4500,0.379000,0.445000,0.207000,0.090000,0.099000,0.123000,0.068000,0.061000,0.167000,0.091000,0.061000,0.079000,0.102000,0.055000
500,0.005000,0.004000,0.004000,0.004000,0.005000,0.009000,0.004000,0.006000,0.007000,0.005000,0.006000,0.006000,0.007000,0.008000
5000,0.471000,0.585000,0.197000,0.108000,0.161000,0.067000,0.070000,0.070000,0.207000,0.116000,0.095000,0.134000,0.063000,0.073000
5500,0.575000,0.722000,0.225000,0.129000,0.182000,0.088000,0.094000,0.089000,0.244000,0.135000,0.110000,0.083000,0.108000,0.097000
6000,0.681000,0.881000,0.275000,0.169000,0.104000,0.078000,0.089000,0.158000,0.345000,0.171000,0.105000,0.109000,0.104000,0.133000
6500,0.799000,1.064000,0.337000,0.192000,0.139000,0.143000,0.121000,0.200000,0.355000,0.198000,0.145000,0.127000,0.123000,0.115000
7000,0.925000,1.284000,0.380000,0.213000,0.179000,0.108000,0.118000,0.200000,0.451000,0.226000,0.183000,0.120000,0.117000,0.134000
7500,1.065000,1.475000,0.427000,0.232000,0.138000,0.166000,0.146000,0.188000,0.456000,0.319000,0.187000,0.153000,0.142000,0.141000
8000,1.220000,1.743000,0.486000,0.280000,0.211000,0.194000,0.133000,0.165000,0.516000,0.288000,0.185000,0.151000,0.126000,0.155000
8500,1.367000,2.006000,0.569000,0.313000,0.215000,0.161000,0.147000,0.180000,0.575000,0.372000,0.183000,0.147000,0.158000,0.175000
9000,1.538000,2.318000,0.600000,0.341000,0.211000,0.166000,0.153000,0.211000,0.649000,0.363000,0.223000,0.167000,0.163000,0.171000
9500,1.712000,2.645000,0.668000,0.384000,0.241000,0.221000,0.231000,0.187000,0.802000,0.410000,0.247000,0.201000,0.178000,0.202000
1000,0.019000,0.020000,0.018000,0.011000,0.010000,0.008000,0.008000,0.009000,0.017000,0.011000,0.008000,0.025000,0.010000,0.010000
10000,1.904000,2.924000,0.776000,0.478000,0.254000,0.202000,0.214000,0.265000,0.864000,0.449000,0.275000,0.213000,0.199000,0.205000
1500,0.042000,0.042000,0.032000,0.019000,0.018000,0.028000,0.015000,0.019000,0.030000,0.054000,0.025000,0.014000,0.021000,0.015000
2000,0.075000,0.078000,0.058000,0.052000,0.025000,0.021000,0.049000,0.015000,0.042000,0.029000,0.030000,0.021000,0.022000,0.025000
2500,0.118000,0.131000,0.058000,0.037000,0.032000,0.031000,0.058000,0.032000,0.060000,0.040000,0.033000,0.030000,0.036000,0.030000
3000,0.169000,0.180000,0.075000,0.068000,0.039000,0.052000,0.039000,0.036000,0.095000,0.048000,0.079000,0.046000,0.031000,0.040000
3500,0.230000,0.252000,0.097000,0.086000,0.051000,0.056000,0.048000,0.041000,0.159000,0.109000,0.104000,0.058000,0.043000,0.042000
4000,0.300000,0.345000,0.124000,0.074000,0.062000,0.051000,0.077000,0.063000,0.136000,0.073000,0.090000,0.052000,0.056000,0.053000
4500,0.380000,0.444000,0.153000,0.125000,0.102000,0.059000,0.057000,0.058000,0.173000,0.147000,0.115000,0.103000,0.058000,0.061000
500,0.005000,0.004000,0.006000,0.005000,0.005000,0.004000,0.004000,0.005000,0.006000,0.004000,0.004000,0.004000,0.008000,0.006000
5000,0.468000,0.579000,0.187000,0.118000,0.087000,0.074000,0.062000,0.069000,0.213000,0.122000,0.099000,0.077000,0.078000,0.072000
5500,0.574000,0.711000,0.218000,0.130000,0.106000,0.093000,0.102000,0.078000,0.242000,0.138000,0.176000,0.085000,0.086000,0.125000
6000,0.683000,0.901000,0.279000,0.206000,0.125000,0.141000,0.088000,0.127000,0.302000,0.168000,0.106000,0.109000,0.110000,0.131000
6500,0.800000,1.067000,0.339000,0.191000,0.139000,0.107000,0.105000,0.160000,0.355000,0.198000,0.163000,0.102000,0.115000,0.110000
7000,0.927000,1.331000,0.368000,0.197000,0.122000,0.135000,0.120000,0.201000,0.450000,0.246000,0.184000,0.133000,0.118000,0.122000
7500,1.066000,1.495000,0.426000,0.246000,0.151000,0.111000,0.114000,0.139000,0.473000,0.255000,0.183000,0.164000,0.151000,0.136000
8000,1.219000,1.713000,0.480000,0.263000,0.198000,0.196000,0.171000,0.209000,0.512000,0.292000,0.165000,0.144000,0.151000,0.156000
8500,1.374000,1.968000,0.548000,0.307000,0.214000,0.157000,0.154000,0.185000,0.581000,0.329000,0.184000,0.157000,0.151000,0.191000
9000,1.535000,2.333000,0.603000,0.344000,0.231000,0.176000,0.181000,0.256000,0.661000,0.366000,0.229000,0.185000,0.178000,0.173000
9500,1.709000,2.569000,0.658000,0.361000,0.230000,0.182000,0.182000,0.242000,0.725000,0.401000,0.261000,0.199000,0.183000,0.179000
1000,0.019000,0.020000,0.016000,0.011000,0.011000,0.009000,0.008000,0.010000,0.019000,0.011000,0.010000,0.008000,0.008000,0.013000
10000,1.904000,2.893000,0.707000,0.395000,0.225000,0.236000,0.186000,0.265000,0.805000,0.456000,0.276000,0.213000,0.223000,0.243000
1500,0.043000,0.042000,0.052000,0.044000,0.012000,0.018000,0.018000,0.015000,0.032000,0.021000,0.018000,0.014000,0.030000,0.015000
2000,0.075000,0.078000,0.042000,0.028000,0.023000,0.020000,0.033000,0.023000,0.043000,0.033000,0.027000,0.022000,0.021000,0.023000
2500,0.117000,0.123000,0.058000,0.036000,0.046000,0.030000,0.023000,0.029000,0.083000,0.078000,0.060000,0.060000,0.042000,0.032000
3000,0.169000,0.180000,0.084000,0.048000,0.074000,0.052000,0.032000,0.052000,0.078000,0.049000,0.066000,0.045000,0.032000,0.052000
3500,0.230000,0.253000,0.098000,0.131000,0.041000,0.047000,0.043000,0.066000,0.113000,0.058000,0.051000,0.049000,0.043000,0.055000
4000,0.300000,0.344000,0.125000,0.085000,0.066000,0.061000,0.052000,0.054000,0.140000,0.164000,0.100000,0.050000,0.094000,0.069000
4500,0.379000,0.451000,0.155000,0.091000,0.073000,0.137000,0.074000,0.057000,0.166000,0.156000,0.075000,0.089000,0.055000,0.084000
500,0.005000,0.005000,0.007000,0.005000,0.005000,0.005000,0.006000,0.005000,0.006000,0.006000,0.005000,0.004000,0.005000,0.006000
5000,0.469000,0.572000,0.190000,0.108000,0.097000,0.074000,0.073000,0.080000,0.204000,0.113000,0.071000,0.148000,0.064000,0.075000
5500,0.574000,0.723000,0.230000,0.130000,0.110000,0.089000,0.091000,0.087000,0.242000,0.137000,0.111000,0.105000,0.078000,0.084000
6000,0.682000,0.895000,0.291000,0.169000,0.130000,0.084000,0.094000,0.166000,0.296000,0.168000,0.103000,0.088000,0.095000,0.115000
6500,0.803000,1.046000,0.324000,0.179000,0.153000,0.088000,0.129000,0.184000,0.365000,0.247000,0.111000,0.115000,0.109000,0.117000
7000,0.923000,1.260000,0.383000,0.203000,0.187000,0.155000,0.102000,0.188000,0.402000,0.269000,0.185000,0.132000,0.123000,0.128000
7500,1.099000,1.532000,0.430000,0.244000,0.193000,0.167000,0.144000,0.199000,0.451000,0.257000,0.185000,0.155000,0.143000,0.145000
8000,1.222000,1.764000,0.485000,0.284000,0.170000,0.130000,0.131000,0.206000,0.530000,0.288000,0.181000,0.138000,0.144000,0.161000
8500,1.409000,1.940000,0.536000,0.305000,0.197000,0.157000,0.178000,0.241000,0.587000,0.322000,0.201000,0.168000,0.158000,0.183000
9000,1.533000,2.341000,0.595000,0.327000,0.243000,0.166000,0.173000,0.245000,0.708000,0.360000,0.237000,0.176000,0.200000,0.193000
9500,1.711000,2.590000,0.656000,0.360000,0.233000,0.215000,0.194000,0.179000,0.736000,0.401000,0.248000,0.194000,0.178000,0.182000
1000,0.019000,0.020000,0.017000,0.011000,0.009000,0.012000,0.009000,0.010000,0.024000,0.016000,0.011000,0.007000,0.013000,0.017000
10000,1.903000,2.887000,0.728000,0.398000,0.254000,0.233000,0.181000,0.188000,0.806000,0.448000,0.293000,0.220000,0.189000,0.186000
1500,0.042000,0.042000,0.028000,0.020000,0.021000,0.013000,0.016000,0.028000,0.030000,0.020000,0.041000,0.015000,0.014000,0.021000
2000,0.077000,0.079000,0.042000,0.028000,0.028000,0.021000,0.022000,0.025000,0.044000,0.029000,0.029000,0.023000,0.037000,0.019000
2500,0.117000,0.123000,0.057000,0.067000,0.034000,0.030000,0.047000,0.045000,0.060000,0.050000,0.035000,0.030000,0.025000,0.028000
3000,0.168000,0.180000,0.075000,0.084000,0.041000,0.037000,0.035000,0.050000,0.080000,0.068000,0.038000,0.036000,0.034000,0.040000
3500,0.231000,0.251000,0.098000,0.131000,0.051000,0.067000,0.042000,0.049000,0.128000,0.087000,0.057000,0.104000,0.039000,0.046000
4000,0.300000,0.341000,0.126000,0.076000,0.062000,0.053000,0.049000,0.054000,0.133000,0.111000,0.063000,0.096000,0.051000,0.052000
4500,0.380000,0.442000,0.150000,0.088000,0.082000,0.066000,0.097000,0.088000,0.162000,0.176000,0.081000,0.074000,0.066000,0.060000
500,0.005000,0.005000,0.004000,0.005000,0.003000,0.005000,0.006000,0.007000,0.007000,0.004000,0.003000,0.005000,0.005000,0.006000
5000,0.474000,0.569000,0.187000,0.107000,0.113000,0.121000,0.079000,0.068000,0.201000,0.111000,0.092000,0.078000,0.070000,0.072000
5500,0.575000,0.726000,0.222000,0.178000,0.110000,0.087000,0.085000,0.123000,0.293000,0.162000,0.110000,0.099000,0.086000,0.080000
6000,0.683000,0.883000,0.288000,0.169000,0.125000,0.122000,0.097000,0.142000,0.299000,0.169000,0.105000,0.106000,0.111000,0.101000
6500,0.804000,1.042000,0.334000,0.191000,0.138000,0.100000,0.119000,0.107000,0.355000,0.196000,0.125000,0.115000,0.111000,0.110000
7000,0.937000,1.303000,0.381000,0.213000,0.137000,0.109000,0.125000,0.159000,0.399000,0.224000,0.181000,0.126000,0.123000,0.134000
7500,1.067000,1.502000,0.435000,0.244000,0.177000,0.124000,0.145000,0.158000,0.456000,0.254000,0.188000,0.143000,0.147000,0.194000
8000,1.219000,1.727000,0.483000,0.284000,0.197000,0.129000,0.136000,0.185000,0.514000,0.332000,0.231000,0.164000,0.158000,0.167000
8500,1.367000,2.002000,0.531000,0.294000,0.188000,0.195000,0.145000,0.242000,0.590000,0.324000,0.200000,0.185000,0.165000,0.150000
9000,1.530000,2.395000,0.635000,0.344000,0.241000,0.204000,0.166000,0.212000,0.648000,0.418000,0.223000,0.187000,0.196000,0.183000
9500,1.778000,2.564000,0.658000,0.381000,0.226000,0.196000,0.165000,0.233000,0.721000,0.400000,0.230000,0.220000,0.196000,0.182000
1000,0.019000,0.020000,0.017000,0.016000,0.014000,0.008000,0.009000,0.013000,0.016000,0.027000,0.016000,0.010000,0.009000,0.012000
10000,1.902000,2.846000,0.726000,0.431000,0.264000,0.230000,0.177000,0.280000,0.801000,0.443000,0.282000,0.223000,0.205000,0.222000
1500,0.042000,0.043000,0.031000,0.041000,0.017000,0.014000,0.018000,0.014000,0.028000,0.019000,0.051000,0.015000,0.028000,0.015000
2000,0.075000,0.078000,0.052000,0.080000,0.046000,0.022000,0.020000,0.024000,0.041000,0.027000,0.052000,0.025000,0.027000,0.025000
2500,0.117000,0.123000,0.057000,0.057000,0.033000,0.031000,0.054000,0.028000,0.057000,0.038000,0.036000,0.059000,0.033000,0.035000
3000,0.169000,0.180000,0.100000,0.068000,0.036000,0.036000,0.033000,0.040000,0.077000,0.111000,0.051000,0.040000,0.064000,0.039000
3500,0.230000,0.251000,0.100000,0.062000,0.049000,0.042000,0.048000,0.044000,0.104000,0.062000,0.087000,0.043000,0.041000,0.043000
4000,0.300000,0.352000,0.124000,0.073000,0.064000,0.051000,0.066000,0.047000,0.143000,0.075000,0.062000,0.051000,0.051000,0.057000
4500,0.380000,0.455000,0.153000,0.127000,0.067000,0.063000,0.093000,0.083000,0.165000,0.108000,0.088000,0.065000,0.090000,0.061000
500,0.005000,0.005000,0.008000,0.006000,0.006000,0.005000,0.006000,0.005000,0.006000,0.005000,0.003000,0.005000,0.004000,0.006000
5000,0.469000,0.590000,0.189000,0.111000,0.096000,0.074000,0.070000,0.072000,0.202000,0.141000,0.092000,0.081000,0.078000,0.080000
5500,0.574000,0.722000,0.221000,0.127000,0.091000,0.120000,0.117000,0.089000,0.240000,0.138000,0.099000,0.087000,0.069000,0.080000
6000,0.683000,0.888000,0.281000,0.189000,0.140000,0.096000,0.091000,0.119000,0.296000,0.168000,0.094000,0.108000,0.111000,0.169000
6500,0.797000,1.065000,0.324000,0.190000,0.119000,0.144000,0.096000,0.191000,0.345000,0.196000,0.127000,0.118000,0.106000,0.135000
7000,0.924000,1.259000,0.421000,0.217000,0.169000,0.153000,0.112000,0.139000,0.444000,0.224000,0.186000,0.147000,0.139000,0.138000
7500,1.070000,1.501000,0.449000,0.246000,0.177000,0.121000,0.121000,0.179000,0.474000,0.256000,0.156000,0.167000,0.137000,0.148000
8000,1.270000,1.708000,0.479000,0.283000,0.199000,0.183000,0.126000,0.234000,0.511000,0.291000,0.195000,0.150000,0.150000,0.154000
8500,1.371000,1.974000,0.519000,0.309000,0.200000,0.187000,0.179000,0.235000,0.588000,0.328000,0.182000,0.175000,0.174000,0.180000
9000,1.532000,2.330000,0.592000,0.326000,0.232000,0.195000,0.188000,0.224000,0.646000,0.362000,0.239000,0.180000,0.170000,0.169000
9500,1.709000,2.652000,0.665000,0.372000,0.241000,0.184000,0.181000,0.191000,0.734000,0.412000,0.263000,0.227000,0.205000,0.191000
1000,0.019000,0.020000,0.018000,0.011000,0.013000,0.009000,0.009000,0.008000,0.020000,0.011000,0.011000,0.009000,0.011000,0.019000
10000,1.909000,2.896000,0.733000,0.428000,0.266000,0.197000,0.193000,0.207000,0.867000,0.433000,0.296000,0.241000,0.215000,0.214000
1500,0.042000,0.042000,0.029000,0.019000,0.024000,0.014000,0.013000,0.016000,0.031000,0.020000,0.019000,0.027000,0.010000,0.016000
2000,0.075000,0.078000,0.039000,0.039000,0.035000,0.018000,0.022000,0.022000,0.043000,0.029000,0.028000,0.022000,0.032000,0.017000
2500,0.117000,0.123000,0.057000,0.061000,0.096000,0.028000,0.053000,0.033000,0.061000,0.040000,0.067000,0.031000,0.026000,0.036000
3000,0.168000,0.180000,0.074000,0.059000,0.078000,0.034000,0.061000,0.038000,0.077000,0.076000,0.041000,0.038000,0.041000,0.036000
3500,0.229000,0.251000,0.152000,0.057000,0.108000,0.070000,0.069000,0.051000,0.106000,0.062000,0.056000,0.046000,0.044000,0.040000
4000,0.300000,0.347000,0.121000,0.077000,0.061000,0.053000,0.081000,0.086000,0.134000,0.077000,0.125000,0.058000,0.061000,0.051000
4500,0.381000,0.450000,0.151000,0.095000,0.058000,0.059000,0.092000,0.082000,0.165000,0.095000,0.082000,0.091000,0.062000,0.061000
500,0.005000,0.005000,0.005000,0.005000,0.003000,0.005000,0.005000,0.006000,0.008000,0.005000,0.004000,0.004000,0.004000,0.005000
5000,0.468000,0.578000,0.188000,0.106000,0.087000,0.095000,0.066000,0.085000,0.203000,0.166000,0.130000,0.100000,0.071000,0.072000
5500,0.577000,0.715000,0.221000,0.126000,0.104000,0.092000,0.080000,0.081000,0.238000,0.138000,0.083000,0.083000,0.088000,0.073000
6000,0.682000,0.897000,0.281000,0.155000,0.125000,0.126000,0.086000,0.117000,0.297000,0.170000,0.105000,0.104000,0.103000,0.116000
6500,0.799000,1.054000,0.325000,0.180000,0.112000,0.143000,0.116000,0.128000,0.347000,0.195000,0.120000,0.113000,0.107000,0.108000
7000,0.927000,1.277000,0.387000,0.204000,0.132000,0.100000,0.122000,0.147000,0.399000,0.224000,0.189000,0.134000,0.121000,0.164000
7500,1.068000,1.504000,0.431000,0.273000,0.147000,0.126000,0.128000,0.153000,0.458000,0.257000,0.150000,0.156000,0.164000,0.190000
8000,1.227000,1.710000,0.484000,0.283000,0.224000,0.186000,0.164000,0.199000,0.519000,0.288000,0.217000,0.168000,0.136000,0.164000
8500,1.370000,1.997000,0.556000,0.310000,0.184000,0.171000,0.143000,0.197000,0.578000,0.331000,0.199000,0.183000,0.159000,0.137000
9000,1.535000,2.271000,0.603000,0.332000,0.233000,0.204000,0.169000,0.234000,0.648000,0.361000,0.238000,0.165000,0.182000,0.187000
9500,1.713000,2.565000,0.668000,0.382000,0.238000,0.188000,0.205000,0.246000,0.794000,0.400000,0.248000,0.203000,0.226000,0.198000
1000,0.019000,0.020000,0.031000,0.010000,0.010000,0.015000,0.010000,0.010000,0.018000,0.011000,0.010000,0.014000,0.008000,0.010000
10000,1.903000,2.938000,0.729000,0.402000,0.255000,0.235000,0.186000,0.263000,0.803000,0.439000,0.287000,0.220000,0.187000,0.224000
1500,0.042000,0.042000,0.029000,0.020000,0.019000,0.025000,0.013000,0.019000,0.042000,0.020000,0.017000,0.015000,0.044000,0.019000
